23,Cisco Systems Corp.,Communications Profile::Vendor Hardware & Software::Vendor Folder::Cisco Systems Corp.
24,Clifton Devices Inc.,Communications Profile::Vendor Hardware & Software::Vendor Folder::Clifton Devices Inc.
25,Columbia Electronics,Communications Profile::Vendor Hardware & Software::Vendor Folder::Columbia Electronics
26,Compaq,Communications Profile::Vendor Hardware & Software::Vendor Folder::Compaq
27,Comprehensive,Communications Profile::Vendor Hardware & Software::Vendor Folder::Comprehensive
28,Comsphere,Communications Profile::Vendor Hardware & Software::Vendor Folder::Comsphere
29,COMTRAN,Communications Profile::Vendor Hardware & Software::Vendor Folder::COMTRAN
30,COMTROL,Communications Profile::Vendor Hardware & Software::Vendor Folder::COMTROL
31,Control Cable Inc,Communications Profile::Vendor Hardware & Software::Vendor Folder::Control Cable Inc
32,Core Systems,Communications Profile::Vendor Hardware & Software::Vendor Folder::Core Systems
33,Corning Cable Systems,Communications Profile::Vendor Hardware & Software::Vendor Folder::Corning Cable Systems
34,Crystal,Communications Profile::Vendor Hardware & Software::Vendor Folder::Crystal
35,Datametrics Corp.,Communications Profile::Vendor Hardware & Software::Vendor Folder::Datametrics Corp.
36,Data Probe Inc.,Communications Profile::Vendor Hardware & Software::Vendor Folder::Data Probe Inc.
37,Dell,Communications Profile::Vendor Hardware & Software::Vendor Folder::Dell
38,DIGI,Communications Profile::Vendor Hardware & Software::Vendor Folder::DIGI
39,Digi-Key,Communications Profile::Vendor Hardware & Software::Vendor Folder::Digi-Key
40,DNE Technologies Inc.,Communications Profile::Vendor Hardware & Software::Vendor Folder::DNE Technologies Inc.
41,Dunrite Tool & Die Corp.,Communications Profile::Vendor Hardware & Software::Vendor Folder::Dunrite Tool & Die Corp.
42,Emerson,Communications Profile::Vendor Hardware & Software::Vendor Folder::Emerson
43,Enterprise 6.5,Communications Profile::Vendor Hardware & Software::Vendor Folder::Red Hat Inc::Enterprise 6.5
44,ESE,Communications Profile::Vendor Hardware & Software::Vendor Folder::ESE
45,FEI-Zyfer,Communications Profile::Vendor Hardware & Software::Vendor Folder::FEI-Zyfer
46,FiberPlex,Communications Profile::Vendor Hardware & Software::Vendor Folder::FiberPlex
47,Frequency Electronics Inc.,Communications Profile::Vendor Hardware & Software::Vendor Folder::Frequency Electronics Inc.
48,General Cable Corp,Communications Profile::Vendor Hardware & Software::Vendor Folder::General Cable Corp
49,General Dynamics,Communications Profile::Vendor Hardware & Software::Vendor Folder::General Dynamics
50,Google Incorporated,Communications Profile::Vendor Hardware & Software::Vendor Folder::Google Incorporated
51,Grass Valley US Inc.,Communications Profile::Vendor Hardware & Software::Vendor Folder::Grass Valley US Inc.
52,GSC,Communications Profile::Vendor Hardware & Software::Vendor Folder::GSC
53,Harris,Communications Profile::Vendor Hardware & Software::Vendor Folder::Harris
54,Haurtian,Communications Profile::Vendor Hardware & Software::Vendor Folder::Haurtian
55,Hewlett Packard,Communications Profile::Vendor Hardware & Software::Vendor Folder::Hewlett Packard
56,ICS Advent,Communications Profile::Vendor Hardware & Software::Vendor Folder::ICS Advent
57,Intel Corporation,Communications Profile::Vendor Hardware & Software::Vendor Folder::Intel Corporation
58,Joint Electronics,Communications Profile::Vendor Hardware & Software::Vendor Folder::Joint Electronics
59,Juniper Networks Inc.,Communications Profile::Vendor Hardware & Software::Vendor Folder::Juniper Networks Inc.
60,L3 Comm,Communications Profile::Vendor Hardware & Software::Vendor Folder::L3 Comm
61,L3 Stratis,Communications Profile::Vendor Hardware & Software::Vendor Folder::L3 Stratis
62,Lab-Systems,Communications Profile::Vendor Hardware & Software::Vendor Folder::Lab-Systems
63,L-COM,Communications Profile::Vendor Hardware & Software::Vendor Folder::L-COM
64,LF Engineering Co.,Communications Profile::Vendor Hardware & Software::Vendor Folder::LF Engineering Co.
65,Lockheed Martin,Communications Profile::Vendor Hardware & Software::Vendor Folder::Lockheed Martin
66,Long Wave Inc.,Communications Profile::Vendor Hardware & Software::Vendor Folder::Long Wave Inc.
67,Luxlink,Communications Profile::Vendor Hardware & Software::Vendor Folder::Luxlink
68,Market Central,Communications Profile::Vendor Hardware & Software::Vendor Folder::Market Central
69,Mark Space,Communications Profile::Vendor Hardware & Software::Vendor Folder::Mark Space
70,Merrimac Industries,Communications Profile::Vendor Hardware & Software::Vendor Folder::Merrimac Industries
71,Microsoft Corp.,Communications Profile::Vendor Hardware & Software::Vendor Folder::Microsoft Corp.
72,Mini-Circuits,Communications Profile::Vendor Hardware & Software::Vendor Folder::Mini-Circuits
73,Monoprice,Communications Profile::Vendor Hardware & Software::Vendor Folder::Monoprice
74,Mozilla Corporation,Communications Profile::Vendor Hardware & Software::Vendor Folder::Mozilla Corporation
75,Naval Research Lab,Communications Profile::Vendor Hardware & Software::Vendor Folder::Naval Research Lab
76,NET.COM,Communications Profile::Vendor Hardware & Software::Vendor Folder::NET.COM
77,Netgear,Communications Profile::Vendor Hardware & Software::Vendor Folder::Netgear
78,"Network Equipment Technologies, Inc.","Communications Profile::Vendor Hardware & Software::Vendor Folder::Network Equipment Technologies, Inc."
79,North Pointe Associates,Communications Profile::Vendor Hardware & Software::Vendor Folder::North Pointe Associates
80,Northrop Grumman,Communications Profile::Vendor Hardware & Software::Vendor Folder::Northrop Grumman
81,NRL,Communications Profile::Vendor Hardware & Software::Vendor Folder::NRL
82,NSA,Communications Profile::Vendor Hardware & Software::Vendor Folder::NSA
83,NUWC,Communications Profile::Vendor Hardware & Software::Vendor Folder::NUWC
84,OCC,Communications Profile::Vendor Hardware & Software::Vendor Folder::OCC
85,Paradyne,Communications Profile::Vendor Hardware & Software::Vendor Folder::Paradyne
86,Plantronics,Communications Profile::Vendor Hardware & Software::Vendor Folder::Plantronics
87,Polyphaser,Communications Profile::Vendor Hardware & Software::Vendor Folder::Polyphaser
88,Pomona,Communications Profile::Vendor Hardware & Software::Vendor Folder::Pomona
89,QVS,Communications Profile::Vendor Hardware & Software::Vendor Folder::QVS
90,Raymar-Telenetics,Communications Profile::Vendor Hardware & Software::Vendor Folder::Raymar-Telenetics
91,Raytheon,Communications Profile::Vendor Hardware & Software::Vendor Folder::Raytheon
92,Recotec,Communications Profile::Vendor Hardware & Software::Vendor Folder::Recotec
93,Recoton,Communications Profile::Vendor Hardware & Software::Vendor Folder::Recoton
94,Red Hat Inc,Communications Profile::Vendor Hardware & Software::Vendor Folder::Red Hat Inc
95,Rockbestos-Surprenant Cable,Communications Profile::Vendor Hardware & Software::Vendor Folder::Rockbestos-Surprenant Cable
96,Rockwell Collins,Communications Profile::Vendor Hardware & Software::Vendor Folder::Rockwell Collins
97,RSCC,Communications Profile::Vendor Hardware & Software::Vendor Folder::RSCC
98,SI Tech,Communications Profile::Vendor Hardware & Software::Vendor Folder::SI Tech
99,Solectek,Communications Profile::Vendor Hardware & Software::Vendor Folder::Solectek
100,Space and Navel Warefare Systems,Communications Profile::Vendor Hardware & Software::Vendor Folder::Space and Navel Warefare Systems
101,SSC-Pacific,Communications Profile::Vendor Hardware & Software::Vendor Folder::SSC-Pacific
102,Sun Microsystems,Communications Profile::Vendor Hardware & Software::Vendor Folder::Sun Microsystems
103,SuperMicro,Communications Profile::Vendor Hardware & Software::Vendor Folder::SuperMicro
104,Symmetricom,Communications Profile::Vendor Hardware & Software::Vendor Folder::Symmetricom
105,Synergy,Communications Profile::Vendor Hardware & Software::Vendor Folder::Synergy
106,Texcom Inc.,Communications Profile::Vendor Hardware & Software::Vendor Folder::Texcom Inc.
107,TP-Link,Communications Profile::Vendor Hardware & Software::Vendor Folder::TP-Link
108,Trilogy Magnetics Inc.,Communications Profile::Vendor Hardware & Software::Vendor Folder::Trilogy Magnetics Inc.
109,Tri-Map International,Communications Profile::Vendor Hardware & Software::Vendor Folder::Tri-Map International
110,TrueTime,Communications Profile::Vendor Hardware & Software::Vendor Folder::TrueTime
111,Unicom,Communications Profile::Vendor Hardware & Software::Vendor Folder::Unicom
112,Vatyx Inc.,Communications Profile::Vendor Hardware & Software::Vendor Folder::Vatyx Inc.
113,Versitron,Communications Profile::Vendor Hardware & Software::Vendor Folder::Versitron
114,ViaSat,Communications Profile::Vendor Hardware & Software::Vendor Folder::ViaSat
115,Viking Electornics,Communications Profile::Vendor Hardware & Software::Vendor Folder::Viking Electornics
116,VMware Inc.,Communications Profile::Vendor Hardware & Software::Vendor Folder::VMware Inc.
117,Windows 7,Communications Profile::Vendor Hardware & Software::Vendor Folder::Microsoft Corp.::Windows 7
118,Windows 10,Communications Profile::Vendor Hardware & Software::Vendor Folder::Microsoft Corp.::Windows 10
119,Windows 2003,Communications Profile::Vendor Hardware & Software::Vendor Folder::Microsoft Corp.::Windows 2003
120,Windows 2008,Communications Profile::Vendor Hardware & Software::Vendor Folder::Microsoft Corp.::Windows 2008
121,Windows Server 2008,Communications Profile::Vendor Hardware & Software::Vendor Folder::Microsoft Corp.::Windows Server 2008
122,Windows Server 2012,Communications Profile::Vendor Hardware & Software::Vendor Folder::Microsoft Corp.::Windows Server 2012
123,Windows XP,Communications Profile::Vendor Hardware & Software::Vendor Folder::Microsoft Corp.::Windows XP
124,Wyse Technology,Communications Profile::Vendor Hardware & Software::Vendor Folder::Wyse Technology
125,Zenith,Communications Profile::Vendor Hardware & Software::Vendor Folder::Zenith
126,Zenith Inteq,Communications Profile::Vendor Hardware & Software::Vendor Folder::Zenith Inteq
